decade,NOC,total_medals,cum_medals
1900,RUS,3,3
1900,AUS,13,13
1900,ITA,69,69
1900,CAN,104,104
1900,SWE,109,109
1900,GER,112,112
1900,FRA,341,341
1900,GBR,517,517
1900,USA,546,546
1910,CAN,8,112
1910,RUS,14,17
1910,ITA,25,94
1910,FRA,26,367
1910,GER,53,165
1910,USA,107,653
1910,GBR,170,687
1910,SWE,190,299
1920,RUS,0,17
1920,AUS,22,35
1920,GER,82,247
1920,CAN,90,202
1920,ITA,207,301
1920,GBR,265,952
1920,SWE,288,587
1920,FRA,313,680
1920,USA,490,1143
1930,AUS,6,41
1930,SWE,80,667
1930,FRA,87,767
1930,GBR,88,1040
1930,CAN,94,296
1930,ITA,153,454
1930,GER,288,535
1930,USA,335,1478
1940,AUS,16,57
1940,CAN,22,318
1940,GBR,63,1103
1940,ITA,68,522
1940,FRA,77,844
1940,SWE,88,755
1940,USA,168,1646
1950,CAN,60,378
1950,FRA,74,918
1950,GBR,78,1181
1950,AUS,87,144
1950,GER,106,641
1950,ITA,111,633
1950,SWE,142,897
1950,USA,313,1959
1950,URS,323,323
1960,CAN,72,450
1960,GBR,77,1258
1960,SWE,84,981
1960,FRA,89,1007
1960,AUS,141,285
1960,ITA,191,824
1960,GER,224,865
1960,USA,502,2461
1960,URS,661,984
1970,CAN,38,488
1970,SWE,38,1019
1970,AUS,43,328
1970,FRA,46,1053
1970,GBR,62,1320
1970,ITA,69,893
1970,USA,370,2831
1970,URS,601,1585
1980,AUS,100,428
1980,CAN,122,610
1980,FRA,131,1184
1980,ITA,142,1035
1980,SWE,153,1172
1980,GBR,175,1495
1980,USA,605,3436
1980,URS,918,2503
1990,GBR,83,1578
1990,SWE,104,1276
1990,FRA,146,1330
1990,ITA,186,1221
1990,AUS,194,622
1990,RUS,203,220
1990,CAN,216,826
1990,GER,444,1309
1990,USA,550,3986
2000,SWE,141,1417
2000,GBR,199,1777
2000,CAN,226,1052
2000,FRA,226,1556
2000,ITA,257,1478
2000,GER,481,1790
2000,AUS,493,1115
2000,RUS,597,817
2000,USA,958,4944
