decade,NOC,total_medals,NOC1
1910,FRA,26,FRA___1910
1910,NED,26,NED___1910
1910,HUN,30,HUN___1910
1940,FIN,42,FIN___1940
1940,NED,42,NED___1940
1940,DEN,51,DEN___1940
1910,GER,53,GER___1910
1940,GBR,63,GBR___1940
1940,HUN,64,HUN___1940
1940,SUI,64,SUI___1940
1930,AUT,67,AUT___1930
1930,FIN,68,FIN___1930
1940,ITA,68,ITA___1940
1900,ITA,69,ITA___1900
1970,ITA,69,ITA___1970
1910,FIN,71,FIN___1910
1950,FRA,74,FRA___1950
1940,FRA,77,FRA___1940
1900,NOR,78,NOR___1900
1930,HUN,78,HUN___1930
1950,GBR,78,GBR___1950
1910,NOR,80,NOR___1910
1930,SWE,80,SWE___1930
1970,TCH,83,TCH___1970
1900,BEL,87,BEL___1900
1910,DEN,87,DEN___1910
1930,FRA,87,FRA___1930
1950,AUS,87,AUS___1950
1930,GBR,88,GBR___1930
1940,SWE,88,SWE___1940
1960,FRA,89,FRA___1960
1950,FIN,90,FIN___1950
1930,CAN,94,CAN___1930
1970,ROU,95,ROU___1970
1970,JPN,100,JPN___1970
1900,CAN,104,CAN___1900
1950,GER,106,GER___1950
1910,USA,107,USA___1910
1900,GRE,108,GRE___1900
1900,SWE,109,SWE___1900
1950,ITA,111,ITA___1950
1900,GER,112,GER___1900
1960,POL,115,POL___1960
1970,POL,120,POL___1970
1980,BUL,132,BUL___1980
1920,NED,134,NED___1920
1970,HUN,136,HUN___1970
1920,SUI,140,SUI___1920
1960,AUS,141,AUS___1960
1950,SWE,142,SWE___1950
1980,ITA,142,ITA___1980
1990,KOR,143,KOR___1990
1960,TCH,144,TCH___1960
1990,FRA,146,FRA___1990
1920,FIN,148,FIN___1920
1930,ITA,153,ITA___1930
1980,SWE,153,SWE___1980
1960,JPN,156,JPN___1960
1940,USA,168,USA___1940
1910,GBR,170,GBR___1910
1950,HUN,170,HUN___1950
1980,GBR,175,GBR___1980
1990,ITA,186,ITA___1990
1910,SWE,190,SWE___1910
1960,ITA,191,ITA___1960
1990,AUS,194,AUS___1990
1920,NOR,200,NOR___1920
1960,HUN,203,HUN___1960
1990,RUS,203,RUS___1990
1920,ITA,207,ITA___1920
1990,CHN,208,CHN___1990
1980,YUG,214,YUG___1980
1990,CAN,216,CAN___1990
1970,FRG,222,FRG___1970
1960,GER,224,GER___1960
2000,CAN,226,CAN___2000
2000,FRA,226,FRA___2000
2000,KOR,229,KOR___2000
1980,ROU,232,ROU___1980
1920,BEL,238,BEL___1920
2000,NED,238,NED___2000
2000,ITA,257,ITA___2000
1920,GBR,265,GBR___1920
1990,EUN,279,EUN___1990
1920,SWE,288,SWE___1920
1930,GER,288,GER___1930
1980,FRG,303,FRG___1980
1920,FRA,313,FRA___1920
1950,USA,313,USA___1950
1950,URS,323,URS___1950
1930,USA,335,USA___1930
1900,FRA,341,FRA___1900
1970,USA,370,USA___1970
2000,CHN,386,CHN___2000
1970,GDR,398,GDR___1970
1990,GER,444,GER___1990
2000,GER,481,GER___2000
1920,USA,490,USA___1920
2000,AUS,493,AUS___2000
1960,USA,502,USA___1960
1900,GBR,517,GBR___1900
1900,USA,546,USA___1900
1980,GDR,549,GDR___1980
1990,USA,550,USA___1990
2000,RUS,597,RUS___2000
1970,URS,601,URS___1970
1980,USA,605,USA___1980
1960,URS,661,URS___1960
1980,URS,918,URS___1980
2000,USA,958,USA___2000
